name,hf_gibbs_free_energy_ev,hf_electronic_energy_ev,hf_entropy_ev,hf_enthalpy_ev,hf_dipole_moment,hf_homo_ev,hf_lumo_ev,dft_gibbs_free_energy_ev,dft_electronic_energy_ev,dft_entropy_ev,dft_enthalpy_ev,dft_dipole_moment,dft_homo_ev,dft_lumo_ev
002-M-BA1-b,-27275.0763512617,-27281.8886833679,1.79531613149138,-27273.2810351302,0.87236,-8.813,4.0489,-27617.1082481013,-27623.0001595344,1.87777891559093,-27615.2304691857,1.47466,-6.2925,-1.4983
002-M-BA1-pipi,-27275.1288017775,-27281.9527686615,1.77216630590612,-27273.3566354716,1.19181,-9.258,4.4306,-27617.1075552991,-27623.0630597716,1.82225732129931,-27615.2852982499,1.69901,-6.7665,-1.3131
005-MEL-CA,-25599.4497710649,-25604.3054248041,1.56414305185683,-25597.8856280131,0.93514,-8.9909,4.6443,-25917.8724719986,-25922.0912943738,1.64152519564909,-25916.2309470751,0.85984,-6.4902,-0.8343
006-MEL-UA,-29133.2844406572,-29138.9791883614,1.66853250915659,-29131.6159081481,2.68196,-8.2371,3.9070,-29496.3201848084,-29501.2242579668,1.79188858367334,-29494.5282962247,3.15832,-6.1902,-1.1975
007-MEL-CR,-22635.2159210743,-22641.2894928138,1.65141572284362,-22633.5645050793,6.85797,-8.6600,5.1451,-22922.5028132758,-22927.782911233,1.68793369241561,-22920.8148795834,6.66567,-6.3708,-0.2151
003a-pos3,-24733.0050322522,-24738.5280202453,1.62453929616531,-24731.380492956,1.75174,-7.9515,3.934,-25042.2575752619,-25047.0408981093,1.68886051266555,-25040.5687147492,1.80279,-5.6022,-1.5789
003pos3,-24733.0099417328,-24738.5412466179,1.60889002060041,-24731.4010517122,1.4845,-8.2321,4.3568,-25042.2341786289,-25047.0564254778,1.66196558223592,-25040.5722130467,2.04241,-5.8804,-1.3353
004b-pos4,-24733.3219729403,-24738.8795387302,1.60199247518189,-24731.7199804651,2.21294,-8.0242,3.9335,-25042.5475116298,-25047.3585511919,1.65752468191912,-25040.8899869478,2.35875,-5.6696,-1.6393
005-POS6,-36294.2435921132,-36303.4568406481,2.11465169486002,-36292.1289404184,2.3575,-7.8848,3.9491,-36751.5468448499,-36759.5738665961,2.21217571619208,-36749.3346691337,3.29897,-5.6196,-1.5003
008a-pos8,-36294.5532088533,-36303.79803921,2.09582249520798,-36292.4573863581,2.07808,-7.9704,3.9298,-36751.8344712421,-36759.8835970798,2.1889692908969,-36749.6455022233,2.41814,-5.5673,-1.6099
009a-pos9,-49466.4494162151,-49478.24974089,2.5930993831454,-49463.8563165598,3.30217,-7.9486,3.9224,-50084.932512703,-50095.223095627,2.70642098216691,-50082.2260917208,3.78478,-5.5793,-1.5997
010a-pos10,-49466.4331628465,-49478.2334447994,2.59372633377836,-49463.8394365127,1.96999,-7.9273,3.929,-50084.9282252749,-50095.2035325359,2.72113636251813,-50082.2070889124,1.95044,-5.6311,-1.6348
010-pos10,-49466.2089507148,-49477.9665216559,2.62618164147965,-49463.5827693455,3.84832,-7.8585,3.4908,-50085.0291961642,-50095.4013414471,2.65498273040923,-50082.3742134338,2.49675,-5.806,-1.7386
